state_code,precinct,n_elections,years_available,pri_mean,pri_sd,pan_mean,pan_sd,prd_mean,prd_sd,turnout_mean,turnout_sd,margin_mean,margin_sd,max_registered,n_distinct_incumbents,state,mun,mun_code,year_pre2015,incumbent_party_pre2015,runnerup_party_pre2015,incumbent_party_vote_pre2015,runnerup_party_vote_pre2015,share_incumbent_party_valid_vote_pre2015,share_runnerup_party_valid_vote_pre2015,mun_winning_margin_pre2015,PRI_vote_pre2015,share_PRI_valid_vote_pre2015,PAN_vote_pre2015,share_PAN_valid_vote_pre2015,PRD_vote_pre2015,share_PRD_valid_vote_pre2015,MORENA_vote_pre2015,share_MORENA_valid_vote_pre2015,valid_pre2015,total_pre2015,registered_voters_pre2015,turnout_pre2015,year_post2015,share_PRI_valid_vote_post2015,share_PAN_valid_vote_post2015,share_PRD_valid_vote_post2015,turnout_post2015
7.0,217.0,5,2007;2010;2012;2015;2018,0.3212319657063922,0.130692136198754,0.2382881310554123,0.3303917327378941,0.3253044198230312,0.2589737279649165,0.6427357633648988,0.0527288889442329,0.1371849187,0.1540157495303199,1597.0,3,CHIAPAS,CINTALAPA,7017.0,2015.0,PVEM,PRI,392.0,323.0,0.407061266874351,0.3354101765316719,0.134776921,323.0,0.3354101765316719,3.0,0.0031152647975077,6.0,0.0062305295950155,21.0,0.0218068535825545,963.0,1034.0,1501.0,0.6888740839440373,2018.0,0.5262252794496991,0.2398968185726569,0.2398968185726569,0.6819035691922355
7.0,230.0,5,2007;2010;2012;2015;2018,0.3261800891972293,0.1490870945460126,0.2061684907958451,0.2608750015803623,0.2279744301124203,0.2132613024633892,0.6214307404498235,0.0415225499346281,0.1371849187,0.1540157495303199,1395.0,3,CHIAPAS,CINTALAPA,7017.0,2015.0,PVEM,PRI,292.0,234.0,0.3627329192546584,0.2906832298136646,0.134776921,234.0,0.2906832298136646,5.0,0.0062111801242236,14.0,0.017391304347826,23.0,0.0285714285714285,805.0,845.0,1367.0,0.6181419166057059,2018.0,0.48,0.2188235294117647,0.2188235294117647,0.6644345238095238
7.0,888.0,5,2007;2010;2012;2015;2018,0.2657332415526647,0.1365411453750716,0.2122731109632445,0.1122860860643855,0.2126245985513972,0.0655809437281436,0.5416347203819434,0.1324048969098385,0.04154391234,0.0177841855584805,2608.0,4,CHIAPAS,OCOZOCOAUTLA DE ESPINOSA,7061.0,2015.0,PVEM,PAN,333.0,85.0,0.2119669000636537,0.0541056651814131,0.0334332017,160.0,0.1018459579885423,85.0,0.0541056651814131,237.0,0.1508593252705283,68.0,0.0432845321451304,1571.0,1607.0,2507.0,0.6410051854806542,2018.0,0.4817001180637544,0.2195985832349468,0.2195985832349468,0.6798312883435583
7.0,895.0,5,2007;2010;2012;2015;2018,0.2453351929908584,0.147744687615477,0.2311256479606664,0.1313111353786996,0.2119671748429992,0.0736322627612832,0.5284286575098754,0.1011369198883045,0.04154391234,0.0177841855584805,4421.0,4,CHIAPAS,OCOZOCOAUTLA DE ESPINOSA,7061.0,2015.0,PVEM,PAN,480.0,120.0,0.2205882352941176,0.0551470588235294,0.0334332017,168.0,0.0772058823529411,120.0,0.0551470588235294,202.0,0.0928308823529411,108.0,0.0496323529411764,2176.0,2228.0,3863.0,0.5767538182759513,2018.0,0.472378432021171,0.215348991068475,0.215348991068475,0.6534720651436327
7.0,1604.0,5,2007;2010;2012;2015;2018,0.4425509156066357,0.2052006999830058,0.2727670543588906,0.2437193326995102,0.3223766704529919,0.2730934990814103,0.4080710345650398,0.0937696761922588,0.19516755192,0.1806069749485626,3405.0,4,CHIAPAS,TUXTLA GUTIERREZ,7101.0,2015.0,,PVEM,,744.0,,0.6158940397350994,0.1510255662,744.0,0.6158940397350994,271.0,0.2243377483443708,27.0,0.0223509933774834,95.0,0.0786423841059602,1208.0,1269.0,3109.0,0.4081698295271792,2018.0,0.4241164241164241,0.1933471933471933,0.1933471933471933,0.5089574155653451
7.0,1737.0,5,2007;2010;2012;2015;2018,0.3957303509220622,0.1414857555837844,0.2988876098370728,0.2161625584344125,0.3301329199382827,0.243898384046473,0.363756654723971,0.1187053996205291,0.19516755192,0.1806069749485626,13151.0,4,CHIAPAS,TUXTLA GUTIERREZ,7101.0,2015.0,,PVEM,,1654.0,,0.4718972895863053,0.1510255662,1654.0,0.4718972895863053,1216.0,0.3469329529243937,53.0,0.0151212553495007,331.0,0.0944365192582025,3505.0,3656.0,10838.0,0.3373316109983392,2018.0,0.4363882008556632,0.1989416798018464,0.1989416798018464,0.4895445213291765
7.0,1819.0,5,2007;2010;2012;2015;2018,0.301209584752982,0.2539128948962749,0.1492128606122907,0.1278417884036828,0.1595520338993253,0.1150325073241918,0.6017650917031505,0.06939914305252,0.11894295594,0.0606747692130122,1588.0,3,CHIAPAS,VILLACOMALTITLAN,7071.0,2015.0,PVEM,PANAL,276.0,276.0,0.2771084337349397,0.2771084337349397,0.040727459,6.0,0.0060240963855421,24.0,0.0240963855421686,3.0,0.003012048192771,28.0,0.0281124497991967,996.0,1008.0,1507.0,0.6688785666887856,2018.0,0.6503719447396387,0.2964930924548353,0.2964930924548353,0.6851385390428212
7.0,1825.0,5,2007;2010;2012;2015;2018,0.3187861794416979,0.2226703573221088,0.1580420974049401,0.1388272223287093,0.1457344346875989,0.1011886414908482,0.6679321711296607,0.0629334357718019,0.11894295594,0.0606747692130122,1468.0,3,CHIAPAS,VILLACOMALTITLAN,7071.0,2015.0,PVEM,PANAL,398.0,398.0,0.3712686567164179,0.3712686567164179,0.040727459,15.0,0.0139925373134328,22.0,0.0205223880597014,3.0,0.0027985074626865,12.0,0.0111940298507462,1072.0,1091.0,1423.0,0.7666900913562895,2018.0,0.6200607902735562,0.2826747720364742,0.2826747720364742,0.69141689373297
8.0,641.0,5,2007;2010;2013;2016;2018,0.4232449287898864,0.1339508880059799,0.4618101427925858,0.0562514223153146,0.1210096505952329,0.2191209719206993,0.5032418910454876,0.116276638978031,0.1158709129,0.0819843690622476,11097.0,2,CHIHUAHUA,CHIHUAHUA,8019.0,2013.0,PRI_PVEM_PANAL,PAN,1535.0,1701.0,0.4496192149970708,0.4982425307557118,0.2052074329,1535.0,0.4496192149970708,1701.0,0.4982425307557118,1535.0,0.4496192149970708,,,3414.0,3550.0,9273.0,0.3828318774937992,2016.0,0.2381589958158996,0.4202510460251046,0.005020920502092,0.6210580380071905
8.0,896.0,3,2007;2010;2013,0.5377568202258317,0.0716447478799796,0.4150605421956119,0.0675179378650529,0.1914242554750655,0.2961411009053039,0.3718460500178111,0.0668213670360998,0.1006170047999999,0.1018911452113252,16018.0,2,CHIHUAHUA,CHIHUAHUA,8019.0,2013.0,PRI_PVEM_PANAL,PAN,2506.0,1971.0,0.5333049585018089,0.4194509470100022,0.2052074329,2506.0,0.5333049585018089,1971.0,0.4194509470100022,2506.0,0.5333049585018089,,,4699.0,4822.0,16018.0,0.3010363341241103,,,,,
